#F144 Data
#Magnetic flux density in the gap for F144 Motor sample
#Instrument: 	Denshiki Industry GM-1120 Gauss Meter
#	   	HP 3478A Multimeter
#Data table, tab separated
#Vfc	Ifc	VH	B			Rfc(Vfc/Ifc)
0	0	0.09	0.06	-
5	0.36	1.1313	0.7542			13.8888888888889
6	0.43	1.30925	0.872833333333333	13.953488372093
7	0.5	1.368	0.912			14
8	0.58	1.4281	0.952066666666667	13.7931034482759
9	0.65	1.46463	0.97642			13.8461538461538
10	0.72	1.49355	0.9957			13.8888888888889
11	0.79	1.51345	1.00896666666667	13.9240506329114
12	0.87	1.52903	1.01935333333333	13.7931034482759
13	0.94	1.54055	1.02703333333333	13.8297872340426
14	1.02	1.55055	1.0337			13.7254901960784
15	1.09	1.55941	1.03960666666667	13.7614678899083
16	1.16	1.56692	1.04461333333333	13.7931034482759
17	1.23	1.57349	1.04899333333333	13.8211382113821
18	1.3	1.57982	1.05321333333333	13.8461538461538
19	1.37	1.58545	1.05696666666667	13.8686131386861
20	1.45	1.59115	1.06076666666667	13.7931034482759
21	1.52	1.59555	1.0637			13.8157894736842
22	1.59	1.5995	1.06633333333333	13.8364779874214
23	1.67	1.604	1.06933333333333	13.7724550898204
24	1.74	1.6076	1.07173333333333	13.7931034482759
25	1.81	1.61126	1.07417333333333	13.8121546961326
26	1.88	1.61466	1.07644			13.8297872340426
27	1.95	1.61774	1.07849333333333	13.8461538461538
28	2.02	1.62079	1.08052666666667	13.8613861386139
29	2.09	1.62365	1.08243333333333	13.8755980861244
30	2.16	1.6264	1.08426666666667	13.8888888888889
31	2.22	1.62888	1.08592			13.963963963964
32	2.29	1.6309	1.08726666666667	13.9737991266376
