#F144 Data
#Temperature in the gap for F144 Motor sample
#Instrument: 	Linkman LDM-81D with thermocouple probe
#Field coil power: constant current @1A
#Data table, tab separated
#t_delta(min)	temp(degC)	VH	B_delta
0	27	1.54186	0
11	27	1.53862	-0.00216
15	28	1.53719	-0.003113333333333
39	30	1.5279	-0.009306666666667
42	31	1.5269	-0.009973333333333
53	32	1.52302	-0.01256
69	33	1.51791	-0.015966666666667
78	34	1.51866	-0.015466666666667
86	35	1.51725	-0.016406666666667
100	36	1.51368	-0.018786666666667
118	37	1.51018	-0.02112
129	38	1.50694	-0.02328
157	40	1.50188	-0.026653333333334
166	41	1.50059	-0.027513333333333
179	41	1.49824	-0.02908
187	42	1.49695	-0.02994
